Year,Lifeexpectancy(men),Lifeexpectancy(women),Infantdeaths,Alcohol,Measles,BMI,Under-fivedeaths,Polio,Totalexpenditure,Diphtheria ,HIV/AIDS,GDP,Population
2000,53,81,80,54,3.99,20,20,0,43.6,11,83,3.38,87
2015,68,85,79,81,,28,21,5432,61.1,60,93,,93
2014,81,63,84,72,0.21,53,46,1314,6.2,62,94,5.64,94
2013,67,76,62,72,0.21,36,42,405,59.4,63,97,5.46,97
2012,73,76,66,74,0.23,37,19,245,58.6,64,93,5.29,93
2011,58,68,52,60,0.22,46,44,26,57.8,64,96,5.4,96
2010,57,53,69,100,0.22,50,65,16,57,64,97,4.8,97
2009,63,75,79,80,0.21,26,65,608,56.2,64,97,5.1,97
2008,65,59,82,99,0.24,51,44,668,55.5,65,97,4.82,97
2007,70,64,68,73,0.21,43,31,1684,54.8,65,98,4.95,98
2006,73,80,86,57,0.18,43,33,953,54.2,66,98,5.24,98
2005,70,68,83,98,0.16,62,21,77,53.5,68,98,5.6,98
2004,76,79,66,58,0.16,21,29,80,52.9,70,97,5.21,97
2003,83,81,66,78,0.15,33,19,164,52.3,72,98,5.41,98
2002,66,79,55,75,0.15,47,47,653,51.8,75,97,5.97,97
2001,53,66,98,83,0.14,26,73,2150,51.2,78,99,5.75,99
2000,70,71,54,98,0.14,72,40,2633,5.7,82,98,5.55,98
2015,51,59,58,65,,52,66,0,56.1,2,92,,91
2014,81,79,68,95,2.52,29,58,0,55.4,2,93,6.77,94
2013,73,57,62,60,2.42,52,20,0,54.7,2,92,6.95,92
2012,78,52,51,57,2.48,34,59,0,54.1,2,93,6.7,92
2011,72,61,83,100,2.37,71,62,0,53.4,2,9,6.81,89
2010,55,72,70,57,2.36,59,39,0,52.8,2,89,6.91,89
2009,64,62,50,50,2.55,25,40,0,52.1,2,91,6.83,91
2008,72,73,86,74,2.68,18,46,0,51.4,3,98,6.21,98
2007,75,53,63,56,2.83,75,25,0,5.8,3,99,6.32,99
2006,82,79,87,89,2.77,73,55,0,5.1,3,96,6.68,96
2005,61,64,66,93,2.77,27,69,0,49.4,3,89,7.19,89
2004,72,56,64,86,2.9,51,45,0,48.6,3,9,7.3,9
2003,83,54,72,62,3.1,32,68,0,47.8,4,93,7.61,94
2002,81,85,78,56,2.97,57,64,0,47,4,81,7.9,81
2001,56,62,88,100,2.88,63,46,2,46.2,4,94,8.2,92
2000,54,78,78,78,2.79,63,27,0,45.3,5,98,8.17,99
2015,80,73,76,78,,45,26,1250,24.5,4,17,,16
2014,76,80,80,74,0.01,36,52,13,24,4,24,3.8,2
2013,62,53,95,71,10.72,18,73,321,23.5,4,3,3.73,3
2012,51,58,52,91,11.89,37,62,1190,23,4,3,4,24
2011,77,50,90,69,10.99,71,64,0,22.6,4,39,3.29,41
2010,63,82,91,57,9.93,71,60,0,22.1,4,59,3.84,44
2009,59,75,88,81,7.97,68,40,78,21.7,4,57,5.32,43
2008,80,68,72,88,8.34,25,54,436,21.3,4,55,2.31,42
2007,74,59,78,71,6.86,40,41,5,2.9,4,54,2.25,41
2006,59,85,83,94,7.28,56,37,0,2.5,4,52,2.13,4
2005,58,84,50,68,7.19,54,34,0,2.2,4,5,1.63,39
2004,52,56,65,57,6.28,18,37,38,19.8,4,48,2.4,38
2003,57,55,99,56,7.13,64,68,18,19.5,4,46,2.23,37
2002,63,70,86,99,6.01,43,51,24,19.1,4,44,2.5,36
2001,74,65,85,98,5.07,49,66,1339,18.7,4,43,1.78,35
2000,72,73,65,94,4.46,42,56,0,18.3,4,41,2.73,34
2015,64,59,99,99,,25,47,198,18.6,7,95,,95
2014,75,59,62,68,0.01,70,21,127,18,8,94,3.34,94
2013,52,77,91,98,0.01,27,47,45,17.5,8,94,3.1,94
2012,55,59,76,57,0.01,75,68,194,17,8,94,2.98,94
2011,84,75,64,79,0.62,37,69,48,16.5,8,96,3.6,96
2010,81,72,59,53,0.61,35,35,51,16,9,9,3.24,9
2009,76,54,92,100,0.63,44,46,82,15.5,9,92,3.3,92
2008,51,62,62,65,0.49,74,56,0,15.1,9,94,3.69,94
2007,62,62,67,86,1.23,72,63,55,14.7,9,91,3.29,91
2006,70,84,55,55,0.97,30,75,128,14.3,9,94,3.3,94
2005,62,81,93,54,1.07,29,38,19,13.9,9,96,2.97,96
2004,63,83,93,50,0.64,58,25,24,13.6,10,98,3.14,98
2003,52,80,76,54,0.56,29,35,376,13.3,10,95,3.5,93
2002,76,66,85,90,0.83,43,65,460,13.1,10,92,4.2,9
2001,76,61,79,63,0.61,71,38,204,12.8,10,89,3.95,86
2000,54,71,91,86,0.83,45,66,789,12.6,10,82,4.43,81
2015,77,82,91,99,,37,60,4,59.9,0,93,,93
2014,50,84,98,97,0.01,49,22,0,59.4,0,93,6.38,93
2013,84,82,80,53,0.01,74,44,2,59,0,94,6.48,94
2012,72,67,54,68,0.01,59,25,4,58.5,0,94,6.36,94
2011,80,81,68,79,0.01,23,58,7,58,0,93,5.83,93
2010,82,81,74,55,14.97,43,59,0,57.6,0,94,6.25,94
2009,57,81,98,57,15.04,33,56,0,57.1,0,95,6.93,95
2008,83,59,82,82,16.99,44,38,0,56.7,0,95,6.6,95
2007,54,64,94,53,17.87,72,18,1,56.3,0,95,5.16,95
2006,71,57,68,78,16.58,74,68,27,55.9,0,95,5.1,95
2005,80,54,78,97,15.52,55,22,2,55.5,0,96,5.2,96
2004,57,51,96,83,15.07,28,59,0,55.2,0,95,5.13,94
2003,58,59,50,72,11.64,36,43,0,54.9,0,95,4.92,94
2002,71,82,69,74,11.48,48,45,0,54.6,0,94,4.84,94
2001,69,82,90,72,0.01,39,45,0,54.3,0,94,4.85,94
2000,81,83,77,65,0.01,66,38,9,54,0,93,5.28,93
2015,78,82,51,65,,55,72,17745,17.6,194,75,,77
2014,78,60,79,90,0.01,21,34,12739,17.2,202,75,4.88,77
2013,69,79,53,95,1.86,49,19,5253,16.8,211,7,5.19,72
2012,61,52,87,59,1.84,48,74,4347,16.4,221,7,5.77,69
2011,71,63,79,88,1.32,25,39,3255,16,231,7,6.55,65
2010,68,67,94,68,1.34,29,40,4235,15.6,243,69,6.86,61
2009,50,58,75,63,1.17,30,34,1176,15.3,256,65,4.41,58
2008,79,79,68,88,1.13,44,67,3511,14.9,270,63,4.28,54
2007,75,61,52,52,1.06,22,66,1446,14.5,286,61,4.69,5
2006,57,72,92,96,1.22,34,33,1451,14.2,304,59,4.47,46
2005,62,66,61,61,0.99,47,66,357,13.8,323,56,4.2,44
2004,53,55,100,71,0.86,32,20,73,13.5,342,54,4.23,4
2003,57,55,72,75,0.79,63,33,228,13.2,360,55,4.64,37
2002,59,82,54,87,0.8,38,47,3332,12.9,377,55,4.73,35
2001,52,56,83,100,0.85,32,38,2366,12.6,392,55,4.26,32
2000,75,64,89,61,0.88,20,30,1660,12.3,404,55,4.36,3
2015,60,63,88,90,,57,18,0,62.7,0,99,,99
2014,63,75,63,68,0.01,49,33,0,61.9,0,99,4.49,99
2013,85,53,98,77,0.01,47,45,0,61.1,0,99,4.26,99
2012,56,51,71,72,0.01,39,42,0,6.2,0,99,4.16,99
2011,55,52,89,78,0.01,64,55,0,59.5,0,99,4.6,99
2010,79,54,54,90,2.25,18,68,0,58.7,0,99,4.23,99
2009,85,82,95,90,2.31,27,70,1,58,0,99,4.26,99
2008,75,53,90,81,1.95,25,35,0,57.3,0,99,3.68,99
2007,81,51,57,82,2.09,43,37,0,56.6,0,99,3.74,99
2006,72,53,99,82,2.06,43,27,136,55.9,0,98,3.84,98
2005,85,57,66,57,2.02,62,19,0,55.1,0,97,3.61,96
2004,80,51,84,74,1.63,47,53,37,54.2,0,96,3.61,95
2003,63,69,71,53,1.76,62,31,305,53.2,0,95,3.35,94
2002,58,74,95,97,1.85,69,35,304,52.2,0,94,3.48,93
2001,80,66,65,58,1.93,43,20,17,51.2,0,92,3.28,91
2000,75,67,51,81,2.05,28,30,0,5.2,0,91,3.87,9
2015,77,78,71,93,,58,36,2,62.1,0,97,,97
2014,74,73,58,51,8.8,31,66,0,61.7,0,98,9.68,98
2013,58,56,87,51,8.97,43,24,2,61.4,0,98,9.55,98
2012,67,64,85,89,9.24,34,33,0,61,0,99,9.3,99
2011,66,69,61,87,9.81,49,62,27,6.6,0,99,9.1,99
2010,78,54,82,56,9.72,37,48,5,6.2,0,99,9.5,99
2009,52,77,100,77,9.96,56,62,2,59.8,0,99,9.2,99
2008,56,77,98,76,10.26,73,47,5,59.4,0,97,8.35,99
2007,68,81,88,74,10.45,72,42,0,59,0,97,8.9,99
2006,52,76,75,52,10.15,31,70,0,58.6,0,97,8.38,97
2005,54,71,67,54,9.95,36,37,1,58.1,0,97,8.43,97
2004,61,68,81,80,9.89,74,69,0,57.6,0,96,8.21,98
2003,50,71,90,63,9.31,43,27,0,57.1,0,96,8.15,98
2002,72,64,66,50,9.25,47,25,0,56.6,0,95,7.81,98
2001,85,69,96,83,8.94,37,74,1,56.1,0,95,7.43,98
2000,60,60,64,86,8.59,58,26,0,55.5,0,96,7.22,99
2015,54,62,81,71,,61,44,157,62.5,3,98,,98
2014,56,83,89,64,11.5,46,26,267,62,3,98,11.54,98
2013,73,78,90,57,11.1,60,24,272,61.6,3,99,11.56,99
2012,78,73,50,79,11.5,51,60,0,61.1,3,99,11.44,99
2011,78,61,50,61,11.8,60,62,14949,6.6,3,99,11.33,99
2010,74,76,75,82,11.7,23,29,5048,6.1,3,99,11.2,99
2009,82,73,78,78,11.8,45,55,1541,59.6,3,98,11.28,98
2008,71,84,90,76,11.9,27,25,604,59.1,3,98,1.57,98
2007,67,53,83,68,12.2,65,40,39,58.6,3,99,1.45,98
2006,55,73,81,95,12.4,40,39,40,58,4,99,1.53,99
2005,73,62,91,62,12.2,51,54,36,57.5,4,98,1.6,98
2004,64,81,60,66,13.18,56,52,4448,57,4,99,1.53,98
2003,79,63,84,53,13.49,71,19,0,56.4,4,96,1.43,97
2002,68,78,95,91,13.78,53,27,5185,55.8,4,97,1.22,97
2001,55,51,85,77,13.89,37,43,0,55.2,4,98,9.89,97
2000,73,50,67,61,13.63,29,33,10000,54.6,4,98,9.77,97
2015,61,76,66,85,,66,31,27,36.3,3,79,,8
2014,68,80,77,99,0.01,43,58,33,35.8,3,68,3.44,7
2013,74,83,50,76,8.86,74,73,122,35.2,3,77,3.98,79
2012,55,65,94,70,8.3,46,48,2,34.6,3,8,3.13,82
2011,77,82,62,77,8.9,54,63,2,34.1,3,75,3.12,75
2010,78,56,63,75,8.85,29,74,1,33.5,3,68,3.41,67
2009,82,55,76,96,8.64,67,47,0,33,3,74,3.43,76
2008,58,81,93,53,8.75,65,33,3,32.4,3,81,2.54,82
2007,70,58,82,57,9.02,39,62,0,31.9,3,78,2.86,81
2006,72,85,66,52,8.01,33,67,90,31.4,3,44,2.88,45
2005,50,68,94,85,7.72,49,24,0,3.8,3,44,2.76,45
2004,83,69,64,53,8.13,53,26,63,3.3,3,44,3.26,45
2003,81,81,99,92,6.47,62,64,0,29.8,3,44,3.48,45
2002,60,51,77,72,8.34,71,48,110,29.2,3,44,3.22,45
2001,62,81,99,76,9.29,35,65,5129,28.7,3,44,3.23,45
2000,67,71,83,58,8.87,45,68,15,28.1,3,44,2.89,45
2015,73,53,75,62,,54,44,71,27.3,5,96,,97
2014,82,74,79,97,0.01,70,60,1,26.7,5,97,7.34,96
2013,82,76,89,93,0.01,39,60,0,26,5,96,6.49,97
2012,74,52,52,95,0.01,36,70,0,25.4,5,98,6.12,98
2011,58,84,61,73,3.41,35,34,0,24.8,5,95,6.24,96
2010,82,66,82,71,3.48,27,69,2,24.1,6,97,5.75,97
2009,71,65,95,67,2.99,39,42,0,23.5,6,97,5.85,98
2008,68,83,91,81,2.79,24,68,0,22.8,6,96,5.95,96
2007,71,64,95,50,2.64,57,59,0,22.2,6,94,5.76,95
2006,66,55,60,54,2.93,75,70,0,21.5,6,94,5.52,95
2005,61,56,100,81,2.26,25,42,0,2.9,6,94,4.97,95
2004,69,76,61,90,2.51,57,44,0,2.3,6,88,4.35,87
2003,76,50,87,68,2.47,55,25,119,19.7,6,87,4.22,87
2002,52,84,92,92,2.08,30,39,32,19.1,6,86,3.75,87
2001,60,81,51,71,2.25,33,66,99,18.5,6,85,3.71,87
2000,83,75,83,96,2.18,27,19,336,18,6,84,3.61,8
2015,82,54,52,50,,68,32,431,56.2,1,91,,94
2014,84,51,57,76,6.13,42,43,3188,55.3,1,91,7.42,91
2013,75,54,93,96,5.91,62,57,7872,54.4,1,94,7.25,93
2012,51,68,83,86,7.71,29,30,31,53.6,1,93,8.57,92
2011,53,69,94,52,8.14,33,28,64,52.8,1,88,9.38,94
2010,72,67,53,59,7.24,22,66,22,52,1,88,1.5,92
2009,57,70,63,59,6.66,35,25,23,51.3,1,93,1.19,88
2008,52,81,100,58,7.17,46,69,56,5.5,1,9,8.99,92
2007,72,56,99,81,8.65,66,73,44,49.9,1,88,8.17,98
2006,81,71,83,58,6.18,46,47,334,49.2,1,89,8.39,88
2005,85,53,93,92,4.7,52,41,1356,48.6,1,82,8.6,82
2004,63,85,78,76,3.74,42,35,6847,48.1,1,66,8.53,78
2003,57,53,63,90,3.36,37,40,216,47.5,2,74,8.49,75
2002,52,79,57,54,2.72,47,18,199,47,2,89,8.72,84
2001,51,53,59,81,2.76,34,36,35,46.5,2,83,7.82,87
2000,77,66,57,56,3.28,64,27,50,46,2,81,6.94,8
2015,84,74,60,61,,75,65,2464,62.3,3,94,,95
2014,82,52,96,66,11.03,71,60,443,61.9,3,94,11.3,95
2013,65,54,80,62,10.94,22,28,1771,61.4,3,94,11.16,95
2012,66,71,54,84,11.18,55,24,166,6.9,3,94,1.99,95
2011,72,78,71,50,11.2,28,63,1607,6.4,3,94,1.93,95
2010,83,78,80,78,11.2,19,37,780,59.9,3,94,11.25,95
2009,56,74,81,53,11.22,59,73,574,59.5,3,95,11.4,96
2008,68,66,96,63,11.36,66,36,917,59,3,95,1.39,96
2007,67,68,74,59,11.5,74,60,567,58.5,3,95,1.18,96
2006,79,52,90,87,11.76,50,33,2307,58,3,94,1.34,96
2005,69,60,88,67,11.67,32,40,778,57.6,3,95,1.52,96
2004,85,50,50,80,11.83,42,47,121,57.1,3,96,1.37,96
2003,53,74,60,67,11.92,59,37,779,56.6,4,96,1.62,97
2002,54,74,59,51,12.25,46,63,4657,56.1,4,97,1.4,93
2001,72,71,53,65,12.46,55,44,6024,55.6,4,96,1.15,93
2000,54,65,92,69,12.91,43,21,0,55.1,4,94,1.1,9
2015,81,84,62,92,,25,42,23,28.6,52,88,,88
2014,66,66,89,94,0.01,62,54,124,28,54,93,3.56,98
2013,81,60,92,63,0.01,43,25,319,27.3,55,91,4.63,9
2012,51,62,56,52,0.01,33,74,1613,26.7,56,91,4.79,92
2011,68,72,70,79,1.64,62,69,120,26.1,58,91,4.81,91
2010,53,67,63,91,1.69,25,53,641,25.5,59,94,5.33,94
2009,57,81,90,91,1.76,71,46,101,24.9,60,94,5.17,94
2008,71,62,75,61,1.78,64,70,82,24.2,61,92,4.85,93
2007,52,50,95,72,1.25,19,71,6,23.6,61,94,5.3,94
2006,53,70,93,53,1.7,63,36,420,23,62,84,4.64,84
2005,56,57,57,59,1.5,68,40,435,22.4,62,85,4.51,84
2004,79,60,59,90,1.46,20,69,60,21.8,62,81,3.96,8
2003,79,62,57,65,1.53,43,22,1939,21.2,63,8,3.12,8
2002,77,70,64,88,1.6,25,19,12289,2.7,63,8,3.7,78
2001,76,68,53,88,1.49,30,48,13476,2.1,64,81,3.56,79
2000,52,66,100,61,1.6,70,21,23068,19.5,65,88,3,88
2015,56,73,73,56,,45,36,1,66.5,0,99,,99
2014,56,73,68,61,7.53,64,33,1,66,0,99,8.8,99
2013,81,64,90,86,7.46,52,57,3,65.4,0,99,9.26,99
2012,63,65,62,63,8.2,75,49,3,64.9,0,99,9.24,99
2011,75,77,85,68,8.02,41,26,40,64.3,0,99,9.77,99
2010,78,53,90,72,9,72,74,149,63.7,0,99,9.18,99
2009,75,77,53,72,9.08,47,60,2,63.1,0,99,9.76,99
2008,57,50,78,83,9.51,53,41,1,62.4,0,99,9.76,99
2007,63,61,93,60,9.67,73,33,2,61.8,0,99,9.41,99
2006,78,69,67,76,9.42,41,46,0,61.2,1,98,9.34,98
2005,73,51,83,50,9.95,18,68,122,6.5,1,96,9.36,96
2004,69,66,88,99,9.56,65,26,1,59.9,1,95,8.3,95
2003,65,59,66,65,9.46,72,49,0,59.2,1,93,8.61,94
2002,66,58,60,99,8.09,50,37,5,58.6,1,92,8.72,92
2001,64,72,73,68,8.62,21,60,12,58,1,9,8.47,91
2000,68,75,74,61,8.48,52,27,56,57.4,1,89,7.6,89
2015,83,81,74,83,,72,45,0,48.4,0,99,,92
2014,81,56,76,70,8.42,38,46,0,47.4,0,81,6.1,97
2013,57,63,61,92,8.25,56,27,0,46.5,0,98,6.15,97
2012,62,50,63,85,8.07,65,69,0,45.6,0,98,6.36,97
2011,79,76,97,58,7.84,19,38,0,44.7,0,95,6.35,95
2010,85,76,73,76,7.91,54,62,0,43.9,0,94,6.41,97
2009,59,58,78,70,8.42,39,39,0,43.1,0,99,6.24,99
2008,52,84,76,93,8.92,24,60,0,42.4,0,99,5.76,99
2007,83,83,74,61,9.06,69,61,0,41.8,0,96,5.88,96
2006,68,81,73,64,9.06,42,39,0,41.1,0,91,5.99,91
2005,57,60,89,71,8.8,31,71,0,4.5,0,99,5.5,99
2004,84,81,97,87,8.43,49,54,0,39.9,0,84,5.24,83
2003,64,62,56,67,9.75,67,64,0,39.4,0,98,5.89,97
2002,78,67,98,96,10.71,31,18,0,38.8,0,98,6.67,98
2001,52,78,70,85,9.61,63,67,0,38.2,0,96,7.67,96
2000,80,84,63,73,9.4,59,60,0,37.7,0,97,6.62,97
2015,69,63,50,92,,26,53,0,5.6,12,9,,74
2014,62,75,95,63,1.88,49,29,0,49.9,13,65,6.2,73
2013,78,71,82,78,1.93,35,25,0,49.3,13,84,6.3,85
2012,64,83,63,60,2.02,31,73,0,48.6,13,94,6.33,96
2011,73,69,63,83,2.16,34,21,0,47.9,14,88,6.28,88
2010,52,59,64,72,2.14,20,53,0,47.2,14,94,6.64,94
2009,74,70,50,89,2.14,66,69,0,46.5,15,92,6.79,92
2008,55,77,70,53,2.21,48,38,0,45.9,15,96,6.65,95
2007,54,57,87,59,2.4,39,47,0,45.2,16,85,6.86,85
2006,81,81,81,88,2.38,20,51,0,44.5,17,9,7.7,89
2005,58,56,98,76,2.35,57,63,0,43.8,18,87,6.79,87
2004,68,61,83,63,2.4,56,69,0,43.1,18,88,6.77,87
2003,58,64,95,55,2.45,66,32,0,42.4,19,84,6.88,84
2002,82,57,64,96,2.41,44,35,0,41.7,20,82,6.71,82
2001,69,79,53,83,2.53,26,42,0,41.1,20,78,6.76,77
2000,79,52,61,65,2.63,47,23,0,4.4,21,8,5.25,81
2015,54,71,74,99,,70,67,243,23.3,40,42,,54
2014,77,53,81,81,0.01,46,44,175,22.7,41,42,5.64,51
2013,82,52,79,78,0.01,49,38,53,22.2,41,63,5.49,63
2012,83,66,74,90,0.01,52,25,6,21.7,42,63,5.39,62
2011,59,66,78,87,0.22,31,73,11,21.2,43,63,4.73,63
2010,76,62,57,53,0.2,53,53,45,2.8,44,62,4.55,64
2009,75,78,60,67,0.18,53,61,264,2.3,46,6,3.85,57
2008,73,66,85,79,0.21,64,46,89,19.8,47,59,3.21,6
2007,72,55,50,71,0.19,29,46,3,19.4,48,46,3.8,63
2006,53,69,79,71,0.16,65,56,4,19,49,53,3.2,57
2005,50,50,70,92,0.21,71,18,99,18.5,51,59,2.82,59
2004,72,57,99,85,0.34,67,31,10,18.1,53,65,3.14,6
2003,59,75,52,83,0.18,44,36,2497,17.7,55,61,3.45,57
2002,64,75,98,54,0.21,49,43,2151,17.3,56,56,3.76,53
2001,55,51,62,72,0.17,24,45,7408,16.9,58,52,3.65,5
2000,84,62,57,93,0.17,62,57,11294,16.6,60,47,3.46,46
2015,60,73,89,83,,70,61,153,26.3,6,87,,87
2014,78,78,95,100,0.01,52,59,1,25.6,6,87,5.59,87
2013,79,70,85,60,0.01,62,21,0,25,6,87,6.14,87
2012,71,69,60,76,0.01,46,34,0,24.3,6,87,5.96,87
2011,57,59,54,51,3.57,21,54,0,23.7,7,85,5.46,86
2010,60,85,94,73,3.21,45,59,26,23.1,7,82,6.7,83
2009,64,56,73,58,2.55,41,39,0,22.5,7,78,6.81,8
2008,57,64,76,75,2.64,68,75,12,21.9,7,77,6.5,77
2007,55,81,84,74,2.98,38,69,1,21.3,7,76,6.1,74
2006,52,56,90,79,3.22,26,70,0,2.7,8,74,5.87,71
2005,68,83,63,81,3.1,70,25,0,2.1,8,73,5.72,68
2004,57,84,94,95,2.58,64,52,3526,19.6,8,69,5.41,64
2003,71,79,84,72,2.16,26,73,1158,19,8,65,5.62,6
2002,53,55,83,56,2.47,41,21,298,18.5,8,61,5.84,57
2001,51,58,55,65,2.55,19,19,126,17.9,9,56,5.4,53
2000,68,73,98,65,2.84,54,24,0,17.4,9,52,4.94,49
2015,68,82,83,50,,24,22,0,46.7,1,92,,95
2014,66,75,64,66,7.64,49,74,0,45.9,1,97,5.25,98
2013,63,62,69,65,7.56,63,18,0,45,1,98,5.1,98
2012,51,78,91,100,7.57,73,51,0,44.1,1,97,6.57,97
2011,79,77,60,94,7.56,48,18,0,43.2,1,93,6.8,93
2010,52,77,57,100,7.52,73,66,0,42.4,1,95,6.6,95
2009,55,53,80,57,7.49,25,60,0,41.6,1,97,7.32,98
2008,67,58,92,81,7.32,37,30,0,4.9,1,93,7.46,93
2007,52,70,90,95,7.2,23,33,0,4.3,1,94,6.45,94
2006,52,51,80,96,7.04,59,29,0,39.6,1,92,4.67,93
2005,64,81,50,99,7.35,66,30,0,39,1,93,5.83,93
2004,66,85,92,71,7.84,20,44,0,38.4,1,91,5.73,91
2003,53,84,68,91,7.93,65,18,0,37.8,1,91,5.97,9
2002,85,75,77,53,7.73,53,75,0,37.1,1,93,5.84,91
2001,84,63,59,76,6.71,29,55,0,36.4,1,9,5.82,85
2000,85,83,71,95,6.63,48,37,0,35.7,1,79,5.85,88
2015,76,55,96,75,,57,60,0,49.9,18,56,,6
2014,64,77,83,84,0.01,55,25,0,48.8,19,55,7.56,48
2013,72,79,62,99,5.68,18,41,0,47.7,19,67,8.1,68
2012,80,56,54,85,5.68,24,33,0,46.5,20,67,9.88,67
2011,63,54,86,91,5.68,21,51,0,45.3,20,67,1.41,68
2010,77,70,93,54,5.76,26,53,0,44.2,58,66,8.9,66
2009,52,81,80,77,5.85,63,67,0,43,21,65,6.68,65
2008,80,77,92,57,5.95,26,60,0,41.8,22,64,5.92,63
2007,66,52,86,65,6.08,34,39,0,4.7,23,62,5.56,63
2006,69,70,61,70,6.18,39,19,0,39.6,23,61,5.7,6
2005,58,67,86,82,5.57,44,30,0,38.5,24,6,4.41,6
2004,72,69,85,56,6.1,61,49,0,37.5,24,58,5.61,55
2003,63,78,54,95,6.64,62,56,0,36.5,25,56,5.32,53
2002,59,75,50,98,6.1,72,38,0,35.6,26,54,5.47,48
2001,52,72,52,95,6.22,42,34,159,34.8,27,52,5.63,45
2000,85,79,70,77,4.79,69,51,992,34,28,5,6.6,41
2015,68,60,78,98,,66,72,0,51,4,97,,97
2014,71,57,56,79,2.87,37,61,0,5.2,4,97,8.72,97
2013,77,54,69,56,3.11,22,75,0,49.3,4,97,9.15,97
2012,71,74,94,54,3.11,27,61,0,48.4,4,97,9.78,97
2011,83,65,51,80,3.1,53,62,0,47.6,5,97,8.57,97
2010,82,84,55,92,3.1,38,67,0,46.8,5,97,8.45,97
2009,57,78,87,89,3.08,23,64,0,45.9,5,97,8.84,97
2008,52,68,92,74,3.14,53,41,0,45.1,5,93,8.4,93
2007,61,83,63,75,3.16,40,45,0,44.3,6,94,7.89,94
2006,68,65,56,59,3.23,57,30,0,43.5,6,94,7.63,95
2005,85,78,51,71,3.23,32,61,0,42.8,6,98,7.81,98
2004,81,53,66,71,3.02,68,24,0,42,7,94,7.89,94
2003,59,62,59,91,3.04,52,33,0,41.2,7,92,8.29,92
2002,60,57,78,95,3.09,19,59,0,4.4,7,95,7.28,95
2001,60,51,85,61,2.74,59,72,0,39.6,8,99,6.88,96
2000,80,85,57,81,2.61,30,66,0,38.8,8,88,6.63,94
2015,67,79,60,68,,30,52,0,64.8,0,99,,99
2014,76,79,92,90,0.01,63,34,0,64.2,0,99,7.4,99
2013,76,52,65,58,10.88,22,24,1,63.6,1,99,7.53,99
2012,64,68,71,85,11.27,29,31,2,63,1,99,7.74,99
2011,81,65,88,92,11.51,62,45,5,62.4,1,99,7.84,99
2010,53,61,65,77,10.78,68,44,0,61.7,1,99,7.85,99
2009,79,81,67,71,11.46,61,62,1,61.1,1,99,7.55,99
2008,78,56,99,82,11.64,51,70,0,6.5,1,99,7.33,99
2007,57,68,66,98,12.55,56,61,0,59.9,1,99,7.51,99
2006,73,72,50,94,13.16,32,24,1,59.3,1,99,8.1,99
2005,74,75,62,94,12.94,40,75,2,58.8,1,99,8.28,99
2004,77,75,79,83,13.28,61,70,0,58.2,1,99,8.8,99
2003,72,72,95,98,13.24,26,27,0,57.6,1,99,8.42,99
2002,67,69,91,62,13.29,48,30,0,57.1,1,98,7.47,99
2001,54,53,92,86,13.18,75,58,20,56.6,1,99,7.11,99
2000,81,74,76,76,12.22,60,40,1,56.1,1,99,7.6,99
2015,83,78,80,95,,26,33,0,61,0,92,,92
2014,69,73,88,90,7.45,22,46,0,6.6,0,9,8.86,9
2013,84,80,98,90,7.31,51,28,0,6.2,0,91,8.75,91
2012,71,55,61,79,7.81,26,38,0,59.7,0,89,8.68,89
2011,78,61,52,58,8.13,20,72,0,59.3,0,95,8.65,95
2010,84,68,95,65,8.25,37,49,0,58.9,0,96,8.86,96
2009,63,73,71,86,10.22,47,67,0,58.5,0,96,9.12,96
2008,71,66,62,98,8.49,28,57,0,58.1,0,98,8.8,98
2007,51,54,99,51,7.53,40,63,0,57.8,0,97,8.75,97
2006,77,73,61,58,7.2,23,35,0,57.4,0,97,8.96,97
2005,52,71,69,59,7.05,40,63,0,56.9,0,95,9.21,95
2004,67,80,66,66,6.79,33,64,0,56.5,0,99,9.59,99
2003,57,56,74,71,6.61,31,49,0,55.9,0,97,1.7,97
2002,74,72,74,81,6.61,48,68,0,55.4,0,95,9.86,95
2001,68,75,68,77,6.37,59,57,0,54.8,0,92,9.12,92
2000,53,85,56,84,6.17,60,57,0,54.2,0,98,9.28,98
2015,70,73,97,52,,35,33,90387,18.7,1100,86,,87
2014,58,53,92,90,3.07,54,39,79563,18.1,1200,84,4.69,85
2013,52,77,76,62,3.11,25,25,13822,17.5,1300,82,4.53,83
2012,81,52,72,71,3.1,19,29,18668,17,1400,79,4.39,82
2011,83,82,69,66,3,26,68,33634,16.4,1500,79,4.33,82
2010,79,69,78,75,2.77,48,23,31458,15.9,1600,76,4.28,79
2009,54,52,50,72,2.5,61,57,56188,15.4,1700,73,4.38,74
2008,66,62,91,67,1.93,34,57,44258,14.9,1800,69,4.34,7
2007,75,84,54,95,1.59,29,35,41144,14.4,1900,67,4.23,64
2006,58,71,87,94,1.37,19,21,64185,13.9,2000,66,4.25,65
2005,74,71,70,67,1.27,56,18,36711,13.5,2000,65,4.28,65
2004,52,77,83,80,1.2,68,31,55443,13,2100,58,4.22,63
2003,63,67,86,70,1.19,23,31,47147,12.6,2200,57,4.3,61
2002,69,61,51,82,1.1,42,34,40044,12.2,2300,58,4.4,59
2001,56,81,79,89,1,65,44,51780,11.8,2400,58,4.5,59
2000,50,84,68,57,0.93,27,31,38835,11.4,2500,57,4.26,58
2015,79,72,52,56,,62,37,15099,27.4,136,8,,78
